Name,Explanation,Byline,NIfTI,Creator,Contact,WWW,Availability,HowToGet,Version,Date,OpenSource,License,Free,Requirements,TechPubs,ApplPubs,OtherInfo,Keywords,Platforms,LastIATRupdate,Description
NIS,NeuroImaging Statistics,University of Pittsburgh,,"Jonathan D. Cohen (Princeton University, University of Pittsburgh), Todd Braver (Washington University), Kate Fissell (University of Pittsburgh), Steve Forman (University of Pittsburgh), Leigh Nystrom (Princeton University), Victor Ortega (University of Pittsburgh)",fissell+@pitt.edu,http://ccn.wpic.pitt.edu/nis/,7/1/99,Forthcoming web site,,,Not recorded,,Yes,"Unix (SGI, Sun, HP).",,,,"functional, registration, segmentation, statistical","HPUX, IRIX, SunOS, UNIX",Before February 2002,"Collection of Unix-based programs for pre-processing and analyzing neuroimaging datasets. This includes tools for mean-normalization of images, image registration, ANOVA, post-hoc contrast analysis, region-of-interest identification and examination (including time series). Includes a test data set."
cardviews,,"Center for Morphometric Analysis, Massachusetts General Hospital",cardviews can access NIfTI-1 files through the use of mri_convert,Jim Meyer and staff at the Center for Morphometric Analysis at the Massachusetts General Hospital,dave@cma.mgh.harvard.edu,None,"Yes, by ftp.",Contact dave@cma.mgh.harvard.edu,,,No,,Yes,Sun Microsystems workstations and is compiled separately for SunOS 4.1.3 and SunOS 5.5. Uses OpenWin GUI,"DN Kennedy, JW Meyer, PA Filipek, and VS Caviness Jr., MRI-based topographic segmentation, in Functional Neuroimaging: Technical Foundations, Eds. R Thatcher, M Hallett, T Zeffiro, R John, and M Huerta, Orlando, FL: Academic Press, pp. 201-208, 1994.|J Rademacher and AM Galaburda and DN Kennedy and PA Filipek and VS Caviness Jr., Human cerebral cortex: Localization, parcellation and morphometry with magnetic resonance imaging, J Cog Neurosci, 4, p 352-74, 1992","Caviness VS, Kennedy DN, Richelme C, Rademacher J, Filipek PA. The human brain age 7-11 years: a volumetric analysis based on magnetic resonance images. Cereb Cortex. 1996 Sep-Oct; 6(5): 726-36.|Filipek PA, Richelme C, Kennedy DN, Caviness VS. The young adult human brain: an MRI-based morphometric analysis. Cereb Cortex. 1994 Jul-Aug; 4(4): 344-60.|Filipek PA, Semrud-Clikeman M, Steingard RJ, Renshaw PF, Kennedy DN, Biederman J. Volumetric MRI analysis comparing subjects having attention-deficit hyperactivity disorder with normal controls. Neurology. 1997 Mar; 48(3): 589-601.",None,HBP supported,SunOS,01 Mar 2006,"Cardviews is a CARDinal plane VIEWing System developed at the Center for Morphometric Analysis at the Massachusetts General Hospital. It is a tool for brain morphometry (including volumetric analysis using xvol) and this program emerged as a product of our methodological development. While some of its functionality is specifically tailored for our general segmentation and neocortical parcellation routines, the imaging interface, segmentation tools, and localization capacity have utility extending beyond the specific aims motivating its initial conception."
xvol,,"Center for Morphometric Analysis, Massachusetts General Hospital",,Jim Meyer and staff at the Center for Morphometric Analysis at the Massachusetts General Hospital,dave@cma.mgh.harvard.edu,None,"Yes, by ftp.",Contact dave@cma.mgh.harvard.edu,,,No,,Yes,Sun Microsystems workstations and is compiled separately for SunOS 4.1.3 and SunOS 5.5. Uses OpenWin GUI,,,None,"HBP supported, volume",SunOS,11 Apr 2003,xvol is a program to calculate structural volume from the results of image segmentation (using cardviews) developed at the Center for Morphometric Analysis at the Massachusetts General Hospital. It also permits the calculation of overlap volumes from multiple outlines
CARET,,Washington University in St. Louis School of Medicine,,"David Van Essen, John Harwell, Heather Drury, & Donna Hanlon",caret@v1.wustl.edu,http://brainmap.wustl.edu/caret,public,"Register at http://brainmap.wustl.edu/resources/caret_registration.html . After we receive your registration, we will e-mail the information needed to download the software.",5.3,6/20/2005,Yes,GPL,Yes,Linux MacOSX Windows,"For PDF versions of many of our publications, see http://brainmap.wustl.edu/resources/papers.html David C. Van Essen, A Population-Average, Landmark- and Surface-based (PALS) atlas of human cerebral cortex, NeuroImage, In Press|Van Essen, D.C., Harwell, J., Hanlon, D, and Dickson, J., 2005. Surface-Based Atlases and a Database of Cortical Structure and Function. In, Databasing the Brain, From Data to Knowledge (Neuroinformatics. S.H. Koslow and S. Subramaniam, eds., John Wiley & Sons, NJ, pp. 369-388. Watkins KE, Paus T, Lerch JP, Zijdenbos A, Collins DL, Neelin P, Taylor J, Worsley KJ, Evans Van Essen, D.C., 2002. Windows on the brain. The emerging role of atlases and databases in neuroscience. Curr. Op. Neurobiol. 12, 574-579.|Van Essen, D.C., Dickson, J., Harwell, J., Hanlon, D., Anderson, C.H. and Drury, H.A. 2001. An Integrated Software System for Surface-based Analyses of Cerebral Cortex. Journal of American Medical Informatics Association . (Special issue on the Human Brain Project. 8, 443-459.","For complete lists, see http://brainmap.wustl.edu/resources/papers.html|Van Essen, D.C., 2004a. Surface-based approaches to spatial localization and registration in primate cerebral cortex. NeuroImage (Supplement, Mathematics in Brain Imaging. 23, s97-s107.|Van Essen, D.C., 2004b. Organization of visual areas in Macaque and human cerebral cortex. In, The Visual Neurosciences. L. Chalupa and J.S. Werner, MIT Press, pp. 507-521.|Van Essen, D.C., 1997. A tension-based theory of morphogenesis and compact wiring in the central nervous system. Nature 385, 313-318.",,"atlas, functional, HBP supported, NIfTI-1 support, registration, segmentation, statistical, surface analysis, visualization, volume, warping","Linux, MacOS, Windows",20 Jul 2006,"Caret (Computerized Anatomical Reconstruction and Editing Toolkit) is designed for interactively generating (segmenting), viewing, manipulating, registering, and analyzing surface reconstructions of the cerebral cortex. The Caret User's Guide contains detailed tutorials for segmentation generation, surface reconstruction, surface visualization, flattening, and registration using downloadable exemplar data sets."
Surface-Based Atlases,,Washington University School of Medicine,,"David Van Essen, Donna Hanlon, John Harwell, James Dickson, Heather Drury",donna@wustl.edu,http://brainmap.wustl.edu,public,"go to www link above; log in as public, password guest","October, 2002",10/16/2002,No,,Yes,"Caret visualization software to view the atlases (http://brainmap.wustl.edu/caret -- available on IRIX, Linux, Solaris, and MacOSX).","Van Essen, D.C., Dickson, J., Harwell, J., Hanlon, D., Anderson, C.H. and Drury, H.A. 2001. An Integrated Software System for Surface-based Analyses of Cerebral Cortex. Journal of American Medical Informatics Association. 8:443-459 (Downloadable from our website).","Van Essen, D.C. Lewis, J.W,. Drury, H.A., Hadjikhani, N., Tootell, R.B.H., Bakircioglu, M. and Miller, M.I. (2001) Mapping visual cortex in monkeys and humans using surface-based atlases. Vision Research (special issue). (in press). Abstract or Full Text PDF (1.5M). NOTE: this color PDF file must be viewed with Acrobat 4.0 or 5.0. Download Acrobat 5.0 from http://www.adobe.com/products/acrobat/readstep2.html. Van Essen DC, Drury HA (1997) Structural and Functional Analyses of Human Cerebral Cortex Using a Surface-Based Atlas. J Neuroscience 17: 7079-7102.",,"atlas, functional, HBP supported, surface analysis, visualization, volume","IRIX, Linux, MacOS, SunOS, UNIX",22 Sep 2005,"Surface-based atlases of human, macaque, and mouse cerebral and cerebellar cortices developed in our laboratory can be downloaded by direct hyperlink connections to our WebSuMS database (see below) and can be viewed using our freely available Caret software. Each atlas contains a growing compendium of experimental data pertaining to the structural and functional organization of the cortices."
PV-Wave,,Visual Numerics,,Visual Numerics,"Visual Numerics, 1-800-447-7147, Fax 303-530-9329",http://www.vni.com,Single user and site licenses are available,Contact Visual Numerics through their web site,8.51,"December, 2005",No,,No,"This software run on many platforms: SunOS 4.1.3, SunOS 5.5, Windows95, IRIX (silicon graphics Unix), Ultrix, Linix, Macintosh. The software requires about 100Megs of disk space and 16 Megs of RAM to run.",See Visual Numerics web site,,None,"segmentation, visualization","IRIX, Linux, MacOS, SunOS",23 Jan 2006,"PV-Wave is a interactive programming language designed for data analysis. We have several programs written for creating, viewing, and measuring MRI images of brains. PV-Wave is a very powerful programming language with a very simple syntax. We reuse code from one program to write a new program that does something slightly different. This only takes us a few hours. If we used another language, like C++, our program turn around time would be days instead of hours."
VA_SLICER,,University of Minnesota,,K. Rehm; University of Minnesota,k.rehm@neurovia.umn.edu,http://neurovia.umn.edu/incweb/download_home.html Follow link to 'VA Slicer',The package and a sample MRI volume have been described on our website since 1996,The website has an automated software distribution system; visitors fill out an on-line request form and acknowledge having read our disclaimer form. They are then given one-day download access,,,Not recorded,,Yes,The software requires IDL 3.6 or higher,,,None,"HBP supported, visualization",IDL,03 Apr 2002,The VA_SLICER package is an adaptation of the SLICER program distributed with IDL3.1. It has been modified by researchers at the Minneapolis VA Medical Center and the University of Minnesota for use in examining co-registered structural and functional brain volumes
Corner_Cube,,University of Minnesota,,K. Rehm; University of Minnesota,k.rehm@neurovia.umn.edu,http://neurovia.umn.edu/incweb/download_home.html Follow link to 'Corner Cube Environment',Now,The website has an automated software distribution system; visitors fill out an on-line request form and acknowledge having read our disclaimer form. They are then given one-day download access,,,Not recorded,,Yes,The software requires IDL 5.x,"Rehm et al. Medical Image Analysis 2(3): 215-226, 1998",,None,"functional, HBP supported, statistical, visualization",IDL,03 Apr 2002,A symbolic visualization environment known as the Corner Cube Environment has been developed to facilitate rapid examination and comparison of activated foci defined by analyses of functional neuroimaging datasets
Non-linear normalization of MRI brain scans,,,,"Ulrik Kjems, Department of Mathematical Modelling, DK-2800 Lyngby, Denmark",uk@imm.dtu.dk,http://hendrix.imm.dtu.dk/software/warp,"Programs, documentation and examples are available for download.",ftp site,,,Not recorded,,Yes,The software requires Matlab 5,,,None,"registration, warping","MATLAB, UNIX, Windows",02 Apr 2002,To implement a state-of-the art algorithm for accurate registration of MRI brain scans. The package was designed to be portable across Unix platforms and to run on low-cost PC workstations. The algorithm computes a 3D displacement field for warping an MRI image volume to a template image volume. It hierarchically divides the template into blocks of voxels that are locally shifted in order to maximize one of several voxel similarity measures (subject to a constraint enforcing the spatial smoothness of the displacement field). The software package was designed to complement the AIR registration algorithm and includes routines for volume resampling and for combining a computed warp displacement field with an initial 12-parameter affine transformation (.air file); a visualization tool (running under Matlab 5) is also included. The package can also to be used to align PET and fMRI volumes that are accompanied by structural MRI volumes
AIR 5.0,Automated Image Registration,"LONI (Laboratory of Neuro Imaging), UCLA",,"Roger P. Woods, M.D., UCLA",rwoods@ucla.edu,http://bishopw.loni.ucla.edu/AIR5,Available as source code to the research community free of charge,Download source code from the web site listed above,,,No,,Yes,"AIR source code written in C is available to the research community free of charge. The code can be compiled for UNIX, PC or Macintosh platforms. Only source code is available (no executables).","Woods RP, Cherry SR, Mazziotta JC. Rapid automated algorithm for aligning and reslicing PET images. Journal of Computer Assisted Tomography 1992;16:620-633.|Woods RP, Mazziotta JC, Cherry SR. MRI-PET registration with automated algorithm. Journal of Computer Assisted Tomography 1993;17:536-546.|Woods RP, Grafton ST, Holmes CJ, Cherry SR, Mazziotta JC. Automated image registration: I. General methods and intrasubject, intramodality validation. Journal of Computer Assisted Tomography 1998;22:141-154.|Woods RP, Grafton ST, Watson JDG, Sicotte NL, Mazziotta JC. Automated image registration: II. Intersubject validation of linear and nonlinear models. Journal of Computer Assisted Tomography 1998;22:155-165.","Strother SC, Anderson JR, Xu XL, Liow JS, Bonar DC, Rottenberg, DA. Quantitative comparisons of image registration techniques based on high-resolution MRI of the brain. Journal of Computer Assisted Tomography 1994;18:954-62.|Jiang AP, Kennedy DN, Baker JR, Weisskoff R, Tootell RBH, Woods RP, Benson RR, Kwong KK, Brady TJ, Rosen BR, Belliveau JW. Motion detection and correction in functional MR imaging. Human Brain Mapping 1995;3:224-235.|Black KJ, Videen TO, Perlmutter JS. A metric for testing the accuracy of cross-modality image registration: Validation and application.Journal of Computer Assisted Tomography 1996;20:855-861.|West J, Fitzpatrick JM, Wang MY, Dawant BM, Maurer CR, Kessler RM, Maciunas RJ, Barillot C, Lemoine D. Collignon A, Maes F, Suetens P, Vandermeulen D, van den Elsen P, Napel S, Sumanaweera TS, Harkness B, Hemler PF, Hill DLG, Hawkes DJ, Studholme C, Maintz JBA, Viergever MA, Malandain G, Pennec X, Noz ME, Maguire GQ, Pollack M, Pelizzari CA, Robb RA, Hanson D, Woods RP. Comparison and evaluation of retrospective intermodality brain image registration techniques. Journal of Computer Assisted Tomography 1997;21:554-566.|Imran MB, Kawashima R, Sat K, Kinomura S, Ito H, Koyama M, Goto R, Ono S, Yoshioka S, Fukuda H. Mean regional cerebral blood flow images of normal subjects using technetium-99m-HMPAO by automated image registration. Journal of Nuclear Medicine 1998;39:203-207.",None,"CCB (NCBC), HBP supported, registration, warping","HPUX, IRIX, Linux, MacOS, SunOS, UNIX, Windows",27 Mar 2002,AIR allows automated registration of 3D (and 2D) images within and across subjects and within and sometimes across imaging modalities
